WL,WU,wc,L90_500,M60_350,H0_200
653,654,653.5,6.991E+13,5.301E+14,6.247E+14
654,655,654.5,7.023E+13,5.240E+14,6.169E+14
655,656,655.5,6.935E+13,5.094E+14,5.992E+14
656,657,656.5,5.697E+13,4.117E+14,4.840E+14
657,658,657.5,7.094E+13,5.047E+14,5.928E+14
658,659,658.5,7.458E+13,5.221E+14,6.127E+14
659,660,659.5,7.476E+13,5.159E+14,6.049E+14
660,661,660.5,7.750E+13,5.265E+14,6.170E+14
661,662,661.5,7.859E+13,5.258E+14,6.156E+14
662,663,662.5,8.023E+13,5.286E+14,6.184E+14
663,664,663.5,7.997E+13,5.187E+14,6.064E+14
664,665,664.5,8.157E+13,5.213E+14,6.089E+14
665,666,665.5,8.407E+13,5.296E+14,6.182E+14
666,667,666.5,8.435E+13,5.233E+14,6.102E+14
667,668,667.5,8.641E+13,5.277E+14,6.149E+14
668,669,668.5,8.899E+13,5.352E+14,6.231E+14
669,670,669.5,9.053E+13,5.363E+14,6.238E+14
670,671,670.5,9.161E+13,5.347E+14,6.215E+14
671,672,671.5,9.191E+13,5.287E+14,6.142E+14
672,673,672.5,9.457E+13,5.363E+14,6.225E+14
673,674,673.5,9.683E+13,5.415E+14,6.281E+14
674,675,674.5,9.796E+13,5.404E+14,6.264E+14
675,676,675.5,9.849E+13,5.361E+14,6.210E+14
676,677,676.5,1.001E+14,5.382E+14,6.230E+14
677,678,677.5,1.012E+14,5.372E+14,6.214E+14
678,679,678.5,1.018E+14,5.336E+14,6.169E+14
679,680,679.5,1.028E+14,5.327E+14,6.155E+14
680,681,680.5,1.037E+14,5.310E+14,6.133E+14
681,682,681.5,1.055E+14,5.342E+14,6.167E+14
682,683,682.5,1.074E+14,5.378E+14,6.204E+14
683,684,683.5,1.084E+14,5.371E+14,6.193E+14
684,685,684.5,1.075E+14,5.270E+14,6.074E+14
685,686,685.5,1.103E+14,5.350E+14,6.163E+14
686,687,686.5,1.120E+14,5.372E+14,6.185E+14
687,688,687.5,1.141E+14,5.409E+14,6.224E+14
688,689,688.5,1.140E+14,5.335E+14,6.135E+14
689,690,689.5,1.167E+14,5.398E+14,6.202E+14
690,691,690.5,1.175E+14,5.366E+14,6.164E+14
691,692,691.5,1.179E+14,5.326E+14,6.114E+14
692,693,692.5,1.200E+14,5.358E+14,6.147E+14
693,694,693.5,1.222E+14,5.395E+14,6.186E+14
694,695,694.5,1.235E+14,5.388E+14,6.174E+14
